[Bovsoft Strategic] 253 candidates, ~182 credits available
[Bovsoft] BT69403 → kType 109297 (MERCEDES-BENZ V-CLASS (W447)) | tier=1 | family=Mercedes Vito/V-klasse | credits=undefined
[Bovsoft] EH78684 → kType 143314 (TOYOTA PROACE Buss (MDZ_)) | tier=1 | family=Toyota HiAce/ProAce | credits=undefined
[Bovsoft] SD96599 → kType 136031 (MERCEDES-BENZ V-CLASS (W447)) | tier=1 | family=Mercedes Vito/V-klasse | credits=undefined
[Bovsoft] UF29790 → kType 17417 (MERCEDES-BENZ VALENTE Buss (W639)) | tier=1 | family=Mercedes Vito/V-klasse | credits=undefined
[Bovsoft] YE46423 → kType 6342 (VW TRANSPORTER III Kassevogn) | tier=1 | family=VW Transporter | credits=undefined
[Bovsoft] SD48939 → kType 28155 (MERCEDES-BENZ VITO / MIXTO Kassevogn (W639)) | tier=1 | family=Mercedes Vito/V-klasse | credits=undefined
[Bovsoft] BU28702 → kType 7606 (MERCEDES-BENZ VITO / MIXTO Kassevogn (W639)) | tier=1 | family=Mercedes Vito/V-klasse | credits=undefined
[Bovsoft] CV28724 → kType 5281 (VW CARAVELLE IV Buss (70B, 70C, 7DB, 7DK, 70J, 70K, 7DC, 7DJ)) | tier=1 | family=VW Transporter | credits=undefined
[Bovsoft] XR30832 → kType 1804 (VW CARAVELLE III Buss) | tier=1 | family=VW Transporter | credits=undefined
[Bovsoft] UF27906 → kType 18101 (MERCEDES-BENZ VITO / MIXTO Kassevogn (W639)) | tier=1 | family=Mercedes Vito/V-klasse | credits=undefined
[Bovsoft] RL45886 → kType 136008 (MERCEDES-BENZ METRIS Tourer (W447)) | tier=1 | family=Mercedes Vito/V-klasse | credits=undefined
[Bovsoft] RJ28036 → kType 5281 (VW CARAVELLE IV Buss (70B, 70C, 7DB, 7DK, 70J, 70K, 7DC, 7DJ)) | tier=1 | family=VW Transporter | credits=undefined
[Bovsoft] AY33109 → kType 107506 (MERCEDES-BENZ METRIS Kassevogn (W447)) | tier=1 | family=Mercedes Vito/V-klasse | credits=undefined
[Bovsoft] NV72676 → kType 130609 (TOYOTA PROACE VERSO (MPY_)) | tier=1 | family=Toyota HiAce/ProAce | credits=undefined
[Bovsoft] EE96417 → kType 145515 (PEUGEOT RIFTER) | tier=2 | family=Peugeot Expert | credits=undefined
[Bovsoft] EH24290 → kType 141677 (CITROËN DISPATCH (V_)) | tier=2 | family=Citroën Jumpy | credits=undefined
[Bovsoft] FT45107 → kType 58543 (FORD TRANSIT CUSTOM V362 Kassevogn (FY, FZ)) | tier=2 | family=Ford Transit/Custom | credits=undefined
[Bovsoft] SD96635 → kType 132163 (CITROËN DISPATCH (V_)) | tier=2 | family=Citroën Jumpy | credits=undefined
[Bovsoft] NV73108 → kType 116187 (FORD TOURNEO CONNECT / GRAND TOURNEO CONNECT V408 Kombi) | tier=2 | family=Ford Transit/Custom | credits=undefined
[Bovsoft] BS64973 → kType 59334 (BMW X5 (E70)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] SX13103 → kType 136994 (VOLVO XC90 II (256)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] AE50400 → kType 100061 (AUDI Q5 (8RB)) | tier=3 | family=Audi A6/A7/Q5 | credits=undefined
[Bovsoft] PR23974 → kType 116692 (BMW 5 Touring (F11)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] XK27427 → kType 123387 (AUDI Q5 (FYB)) | tier=3 | family=Audi A6/A7/Q5 | credits=undefined
[Bovsoft] EF38506 → kType 144689 (BMW i4 (G26)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] CX13125 → kType 12689 (BMW 5 (F10)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] NF86800 → kType 112230 (MERCEDES-BENZ GLE (W166)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] ED77006 → kType 144687 (BMW iX (I20)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] BD94015 → kType 108601 (AUDI A6 Allroad (4GH, 4GJ, C7)) | tier=3 | family=Audi A6/A7/Q5 | credits=undefined
[Bovsoft] CV56468 → kType 28229 (VOLVO XC60 (156)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] CF52724 → kType 31048 (MERCEDES-BENZ E-KLASSE (W212)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] YA69466 → kType 120725 (MERCEDES-BENZ E-KLASSE T-Model (S213)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] EJ16709 → kType 144689 (BMW i4 (G26)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] SE10005 → kType 133260 (BMW X5 (G05, F95)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] JD89259 → kType 127984 (BMW 5 Touring (G31)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] DR59723 → kType 117573 (BMW 2 Active Tourer (F45)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] SD97788 → kType 141950 (BMW 5 Touring (G31)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] BT89093 → kType 131418 (BMW X5 (G05, F95)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] CX11910 → kType 7838 (MERCEDES-BENZ E-KLASSE Break (S210)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] BT50919 → kType 100271 (BMW X5 (F15, F85)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] BT75985 → kType 111864 (VOLVO XC90 II (256)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] EF43055 → kType 144689 (BMW i4 (G26)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] DR47711 → kType 122819 (MERCEDES-BENZ GLC (X253)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] EF32835 → kType 147037 (MERCEDES-BENZ EQE) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] KH73882 → kType 28229 (VOLVO XC60 (156)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] JV27487 → kType 118515 (MERCEDES-BENZ E-KLASSE (W213)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] SE11729 → kType 145850 (BMW 2 Active Tourer (U06)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] FT64793 → kType 123385 (AUDI Q5 (FYB)) | tier=3 | family=Audi A6/A7/Q5 | credits=undefined
[Bovsoft] KU12452 → kType 148062 (BMW X1 (U11)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] BU15637 → kType 136994 (VOLVO XC90 II (256)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] NF51746 → kType 33010 (BMW 5 (F10)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] EE61180 → kType 147037 (MERCEDES-BENZ EQE) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] BT80642 → kType 130588 (VOLVO XC60 II (246)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] LY76307 → kType 31959 (AUDI Q5 (8RB)) | tier=3 | family=Audi A6/A7/Q5 | credits=undefined
[Bovsoft] DR60539 → kType 130588 (VOLVO XC60 II (246)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] DN39773 → kType 33011 (BMW 5 (F10)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] VT21227 → kType 3815 (BMW 7 (E38)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] YF21675 → kType 151835 (VOLVO XC60 II (246)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] FT63499 → kType 113289 (VOLVO XC60 (156)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] EP59081 → kType 801154 (BMW 5 Touring (G61, G99)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] NH13657 → kType 140891 (MERCEDES-BENZ GLC (X253)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] ED72809 → kType 144687 (BMW iX (I20)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] LJ88337 → kType 152931 (MERCEDES-BENZ GLE (V167)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] BT51480 → kType 111864 (VOLVO XC90 II (256)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] BU36471 → kType 146643 (VOLVO XC90 II (256)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] BT20611 → kType 100270 (BMW X5 (F15, F85)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] BE23762 → kType 133260 (BMW X5 (G05, F95)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] AE52633 → kType 126478 (VOLVO XC60 II (246)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] BE22840 → kType 134501 (MERCEDES-BENZ GLE (V167)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] RL26296 → kType 126482 (VOLVO XC60 II (246)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] EE47098 → kType 144689 (BMW i4 (G26)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] LS81079 → kType 28229 (VOLVO XC60 (156)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] JV29640 → kType 117573 (BMW 2 Active Tourer (F45)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] BT11402 → kType 123201 (BMW 5 Touring (F11)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] EP43000 → kType 801154 (BMW 5 Touring (G61, G99)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] XR55214 → kType 31956 (AUDI Q5 (8RB)) | tier=3 | family=Audi A6/A7/Q5 | credits=undefined
[Bovsoft] EF91130 → kType 144689 (BMW i4 (G26)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] UR94169 → kType 123198 (BMW 5 Touring (F11)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] UF78147 → kType 122832 (MERCEDES-BENZ GLC Coupe (C253)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] CF60734 → kType 31576 (MERCEDES-BENZ E-KLASSE T-Model (S212)) | tier=3 | family=Mercedes E/GLE | credits=undefined
[Bovsoft] CH17726 → kType 136374 (BMW X1 (F48)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] EE84475 → kType 144689 (BMW i4 (G26)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] AA74853 → kType 145081 (VOLVO XC60 II (246)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] ZZ31455 → kType 17814 (BMW 6 (E63)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] NH12734 → kType 141042 (BMW X2 (F39)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] EP83650 → error: The operation was aborted due to timeout
[Bovsoft] PD69117 → kType 136994 (VOLVO XC90 II (256)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] DR70490 → kType 130588 (VOLVO XC60 II (246)) | tier=3 | family=Volvo XC60/XC90 | credits=undefined
[Bovsoft] RL68217 → kType 144689 (BMW i4 (G26)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] NH17338 → kType 152808 (BMW X5 (G05, F95)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] NF91118 → kType 6762 (BMW 5 Touring (F11)) | tier=3 | family=BMW 5/X5 | credits=undefined
[Bovsoft] EE78398 → kType 144689 (BMW i4 (G26)) | tier=3 | family=BMW 5/X5 | credits=undefined
