Eurokode;Varenummer;Merke;Modell;År_fra;År_til;Kategori;Leverandør;Pris;Lager;ADAS;Regnsensor;Oppvarmet;Akustisk;Antenne;HUD;Beskrivelse;Prefix4;Kilde;Kvalitet;Antall_flagg
2048AGACMVZ;2048AGACMVZ;ALFA ROMEO;GIULIA;2015;2025;frontrute;Pilkington;;0;Ja;Nei;Nei;Nei;Nei;Nei;"ALFA ROMEO GIULIA 2015; WS GN ACO CAMERA B";2048;pilkington-irl;OK;1
2048AGCCMVZ;2048AGCCMVZ;ALFA ROMEO;GIULIA;2015;2025;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;"ALFA ROMEO GIULIA 2015; WS GN ABS ACO CAME";2048;pilkington-irl;OK;0
2049AGACMVZ;2049AGACMVZ;ALFA ROMEO;STELVIO 5D SUV;2017;2027;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;"ALFA ROMEO STELVIO 5D SUV 2017; WS GN ACO ";2049;pilkington-irl;OK;0
2459AGSCMUV7P;2459AGSCMUV7P;BMW;5 SERIES F10;2012;2022;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Ja;"BMW 5 SERIES F10 2012;WS GN SOLAR HUD VIN ";2459;pilkington-irl;OK;1
2459AGSMUV6P;2459AGSMUV6P;BMW;5 SERIES F10;2012;2022;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Ja;"BMW 5 SERIES F10 2012;WS GN SOLAR HUD VIN ";2459;pilkington-irl;OK;1
2463AGNCMUV7P;2463AGNCMUV7P;BMW;6 SERIES F12 CPE/CAB 07/;2012;2022;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Ja;"BMW 6 SERIES F12 CPE/CAB 07/2012;WS GN HUD";2463;pilkington-irl;OK;1
2467AGNCMV3P;2467AGNCMV3P;BMW;1 SERIES 3D/5D HBK (E81/E87) 10/2011 2;2011;2021;annet;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;BMW 1 SERIES 3D/5D HBK (E81/E87) 10/2011 2;2467;pilkington-irl;Ukjent type;0
2471AGSCMUV3P;2471AGSCMUV3P;BMW;4 SERIES F32 2D GRAN COUPE;2013;2023;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;"BMW 4 SERIES F32 2D GRAN COUPE 2013;WS GN";2471;pilkington-irl;OK;0
2471AGSMUV2P;2471AGSMUV2P;BMW;4 SERIES F32 2D GRAN COUPE;2013;2023;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;"BMW 4 SERIES F32 2D GRAN COUPE 2013;WS GN ";2471;pilkington-irl;OK;0
2473AGCCMUV1P;2473AGCCMUV1P;BMW;X5 (F15) 5D SUV;2013;2023;frontrute;Pilkington;;0;Ja;Nei;Nei;Nei;Nei;Nei;"BMW X5 (F15) 5D SUV 2013; WS  CAMERA BRACK";2473;pilkington-irl;OK;1
2473AGCCMV1P;2473AGCCMV1P;BMW;X5 (F15) 5D SUV;2013;2023;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;"BMW X5 (F15) 5D SUV 2013; WS GN ABS ACO CA";2473;pilkington-irl;OK;0
2474AGNCMVZ6C;2474AGNCMVZ6C;NEW;MINI F56 3D HBK;2014;2024;frontrute;Pilkington;;0;Ja;Nei;Nei;Nei;Nei;Nei;"NEW MINI F56 3D HBK 2014; WS GN CAMERA BRA";2474;pilkington-irl;OK;1
2477AGACMVZ;2477AGACMVZ;BMW;2 SERIES ACTIVE TOURER F45 5D HBK;2014;2024;annet;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;BMW 2 SERIES ACTIVE TOURER F45 5D HBK 2014;2477;pilkington-irl;Ukjent type;0
2478AGACMUV;2478AGACMUV;BMW;X6 (F16);2014;2024;frontrute;Pilkington;;0;Ja;Nei;Nei;Nei;Nei;Nei;"BMW X6 (F16) 2014; WS GN ACO CAMERA BRACKE";2478;pilkington-irl;OK;1
2479AGACMVZ;2479AGACMVZ;BMW;2 SERIES GRAN TOURER F46 MPV;2015;2025;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;"BMW 2 SERIES GRAN TOURER F46 MPV 2015; WS ";2479;pilkington-irl;OK;0
2480AGACMVZ;2480AGACMVZ;BMW;X2 (XCITE) F39;2017;2027;frontrute;Pilkington;;0;Ja;Nei;Nei;Nei;Nei;Nei;"BMW X2 (XCITE) F39 2017; WS GN ACO CAMERA ";2480;pilkington-irl;OK;1
2481AGACMVZ;2481AGACMVZ;BMW;7 SERIES 4D SAL/4D SAL LWB;2015;2025;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;"BMW 7 SERIES 4D SAL/4D SAL LWB 2015; WS GN";2481;pilkington-irl;OK;0
2482AGACMUVZ;2482AGACMUVZ;BMW;X1 SUV;2015;2025;frontrute;Pilkington;;0;Ja;Nei;Nei;Nei;Nei;Nei;"BMW X1 SUV 2015; WS GN SOLAR ACO CAMERA BR";2482;pilkington-irl;OK;1
2482AGACMVZ;2482AGACMVZ;BMW;X1 SUV;2015;2025;frontrute;Pilkington;;0;Ja;Nei;Nei;Nei;Nei;Nei;"BMW X1 SUV 2015; WS GN ACO CAMERA BRACKET ";2482;pilkington-irl;OK;1
2483AGSCMVZ;2483AGSCMVZ;NEW;MINI CLUBMAN F54;2015;2025;frontrute;Pilkington;;0;Nei;Nei;Nei;Nei;Nei;Nei;"NEW MINI CLUBMAN F54 2015; WS GN SOLAR CAM";2483;pilkington-irl;OK;0
