eurocode,articleNumber,category,supplier,brand,model,yearFrom,yearTo,adas,rainSensor,heated,acoustic,antenna,hud,price,stockStatus,oemNumbers,description,prefix4
2048AGACMVZ,2048AGACMVZ,frontrute,Pilkington,ALFA ROMEO,GIULIA,2015,2025,Ja,Nei,Nei,Nei,Nei,Nei,,0,,ALFA ROMEO GIULIA 2015; WS GN ACO CAMERA B,2048
2048AGCCMVZ,2048AGCCMVZ,frontrute,Pilkington,ALFA ROMEO,GIULIA,2015,2025,Nei,Nei,Nei,Nei,Nei,Nei,,0,,ALFA ROMEO GIULIA 2015; WS GN ABS ACO CAME,2048
2049AGACMVZ,2049AGACMVZ,frontrute,Pilkington,ALFA ROMEO,STELVIO 5D SUV,2017,2027,Nei,Nei,Nei,Nei,Nei,Nei,,0,,ALFA ROMEO STELVIO 5D SUV 2017; WS GN ACO ,2049
2459AGSCMUV7P,2459AGSCMUV7P,frontrute,Pilkington,BMW,5 SERIES F10,2012,2022,Nei,Nei,Nei,Nei,Nei,Ja,,0,,BMW 5 SERIES F10 2012;WS GN SOLAR HUD VIN ,2459
2459AGSMUV6P,2459AGSMUV6P,frontrute,Pilkington,BMW,5 SERIES F10,2012,2022,Nei,Nei,Nei,Nei,Nei,Ja,,0,,BMW 5 SERIES F10 2012;WS GN SOLAR HUD VIN ,2459
2463AGNCMUV7P,2463AGNCMUV7P,frontrute,Pilkington,BMW,6 SERIES F12 CPE/CAB 07/,2012,2022,Nei,Nei,Nei,Nei,Nei,Ja,,0,,BMW 6 SERIES F12 CPE/CAB 07/2012;WS GN HUD,2463
2467AGNCMV3P,2467AGNCMV3P,annet,Pilkington,BMW,1 SERIES 3D/5D HBK (E81/E87) 10/2011 2,,,Nei,Nei,Nei,Nei,Nei,Nei,,0,,BMW 1 SERIES 3D/5D HBK (E81/E87) 10/2011 2,2467
2471AGSCMUV3P,2471AGSCMUV3P,frontrute,Pilkington,BMW,4 SERIES F32 2D GRAN COUPE,2013,2023,Nei,Nei,Nei,Nei,Nei,Nei,,0,,BMW 4 SERIES F32 2D GRAN COUPE 2013;WS GN,2471
2471AGSMUV2P,2471AGSMUV2P,frontrute,Pilkington,BMW,4 SERIES F32 2D GRAN COUPE,2013,2023,Nei,Nei,Nei,Nei,Nei,Nei,,0,,BMW 4 SERIES F32 2D GRAN COUPE 2013;WS GN ,2471
2473AGCCMUV1P,2473AGCCMUV1P,frontrute,Pilkington,BMW,X5 (F15) 5D SUV,2013,2023,Ja,Nei,Nei,Nei,Nei,Nei,,0,,BMW X5 (F15) 5D SUV 2013; WS  CAMERA BRACK,2473
