brand,model,type_code,product_count,unique_skus
VW,GOLF,F,162,64
USA CARS,CHEVROLET,F,154,127
USA CARS,FORD,F,124,102
BMW,5 SERIE,F,113,60
FORD TRUCKS,TRANSIT,B,107,88
FORD,FOCUS,F,104,27
USA CARS,CHEVROLET,B,97,91
FORD,MONDEO,F,90,23
BMW,3 SERIE,F,89,54
VW,PASSAT,F,86,49
FORD TRUCKS,TRANSIT,F,84,72
LANDROVER,RANGE ROVER,F,80,65
VW,GOLF,B,78,47
USA CARS,FORD,B,77,72
TOYOTA,COROLLA,F,67,29
VW,PASSAT,B,56,36
RENAULT,MEGANE,F,54,30
AUDI,A6,F,52,31
USA CARS,FORD,SPB1,50,45
USA CARS,JEEP,F,48,44
HONDA,CIVIC,F,47,42
USA CARS,JEEP,B,47,43
AUDI,A3,F,46,22
VW,GOLF,DFF,46,33
USA CARS,CHEVROLET,SFB1,46,46
USA CARS,CADILLAC,F,46,39
USA CARS,FORD,SFB1,45,41
FORD,FIESTA,F,44,23
FORD,MONDEO,B,44,31
USA CARS,DODGE,F,44,33
BMW,3 SERIE,B,42,36
OPEL,CORSA,F,40,23
VW,GOLF,DPF,40,27
USA CARS,CHEVROLET,SPB1,40,40
VW,POLO,F,39,18
AUDI,A4,F,39,22
SKODA,OCTAVIA,F,39,17
VW TRUCKS,TRANSPORTER,B,39,39
VW,GOLF,SFB1,39,36
USA CARS,CHEVROLET,DPF,39,36
USA CARS,JEEP,SPB1,39,37
SEAT,IBIZA,F,37,16
BMW,1 SERIE,F,37,12
USA CARS,FORD,DFF,37,32
AUDI,A6,B,36,31
VW,GOLF,DPB,36,27
FORD,MONDEO,SFB1,36,19
BMW,7 SERIE,F,35,35
VW,GOLF,DFB,35,28
FORD,MONDEO,DFB,35,18
HONDA,ACCORD,F,34,25
VW TRUCKS,TRANSPORTER,F,33,26
RENAULT,LAGUNA,F,33,17
BMW,3 SERIE,DFF,33,27
RENAULT,MEGANE,B,33,32
USA CARS,FORD,DPF,33,29
USA CARS,CHEVROLET,DFB,33,32
PORSCHE,911,F,32,28
TOYOTA,COROLLA,DFF,32,20
TOYOTA,COROLLA,B,32,25
BMW,5 SERIE,B,32,27
LANDROVER,RANGE ROVER,B,32,26
USA CARS,CHEVROLET,DPB,32,31
USA CARS,CHRYSLER,B,32,31
TESLA,N/A,F,32,16
USA CARS,JEEP,SFB1,32,32
MITSUBISHI,PAJERO,F,31,16
RENAULT,CLIO,F,31,14
MERCEDES TRUCKS,SPRINTER,F,31,24
HONDA,CIVIC,B,31,29
VOLVO,V70,F,31,17
VW,GOLF,DFBV,31,25
FORD,FOCUS,SFB1,31,23
PEUGEOT,308,F,31,11
USA CARS,CHRYSLER,F,31,29
BMW,3 SERIE,DPF,30,24
VW,GOLF,SPB1,30,26
VOLVO,S 80,F,30,16
TOYOTA,YARIS,F,30,20
USA CARS,CHEVROLET,DFF,30,27
TOYOTA,RAV,F,29,25
VW,POLO,B,29,20
TOYOTA,COROLLA,DPF,29,19
SKODA,SUPERB,F,29,18
VW,PASSAT,DFB,29,22
AUDI,A6,DFF,29,12
AUDI,A6,SFB1,29,26
AUDI,A6,SPB1,29,26
FORD,MONDEO,SPB1,29,14
MAZDA,6,F,29,11
OPEL,VIVARO,B,29,29
USA CARS,FORD,DFB,29,27
FORD,ESCORT,F,28,10
SUBARU,LEGACY,F,28,14
VW,PASSAT,SFB1,28,24
VOLVO,V70,DFF,28,12
FORD,FOCUS,B,28,22
AUDI,A8,F,27,27
AUDI,A6,DFB,27,25
VW,GOLF,DPBV,27,21
VW,CADDY,B,27,21
VOLVO,V70,SPB1,27,14
KIA,CEED,F,27,16
OPEL,INSIGNIA,F,27,10
