level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	816.490000	630.930000	-1	###PAGE###
3	1	0	0	0	0	81.155000	401.848594	68.181335	9.745934	-1	###FLOW###
4	1	0	0	0	0	81.155000	401.848594	68.181335	9.745934	-1	###LINE###
5	1	0	0	0	0	81.15	401.85	25.54	9.75	100	MAKE
5	1	0	0	0	1	109.35	401.85	5.54	9.75	100	/
5	1	0	0	0	2	117.62	401.85	31.71	9.75	100	MODEL
3	1	1	0	0	0	217.760000	402.348594	25.579057	9.745934	-1	###FLOW###
4	1	1	0	0	0	217.760000	402.348594	25.579057	9.745934	-1	###LINE###
5	1	1	0	0	0	217.76	402.35	25.58	9.75	100	BODY
3	1	2	0	0	0	266.380000	402.348594	23.850199	9.745934	-1	###FLOW###
4	1	2	0	0	0	266.380000	402.348594	23.850199	9.745934	-1	###LINE###
5	1	2	0	0	0	266.38	402.35	23.85	9.75	100	YEAR
3	1	3	0	0	0	311.550000	402.348594	20.344236	9.745934	-1	###FLOW###
4	1	3	0	0	0	311.550000	402.348594	20.344236	9.745934	-1	###LINE###
5	1	3	0	0	0	311.55	402.35	20.34	9.75	100	CAT.
3	1	4	0	0	0	426.610000	402.348594	43.800416	9.745934	-1	###FLOW###
4	1	4	0	0	0	426.610000	402.348594	43.800416	9.745934	-1	###LINE###
5	1	4	0	0	0	426.61	402.35	43.80	9.75	100	REMARKS
3	1	5	0	0	0	570.260000	397.268594	58.105711	20.385934	-1	###FLOW###
4	1	5	0	0	0	570.260000	397.268594	58.105711	9.745934	-1	###LINE###
5	1	5	0	0	0	570.26	397.27	49.89	9.75	100	EUROCODE
5	1	5	0	0	1	622.83	397.27	5.54	9.75	100	/
4	1	5	0	1	0	586.710000	407.908594	25.241327	9.745934	-1	###LINE###
5	1	5	0	1	0	586.71	407.91	25.24	9.75	100	NAGS
3	1	6	0	0	0	651.440000	402.348594	21.574540	9.745934	-1	###FLOW###
4	1	6	0	0	0	651.440000	402.348594	21.574540	9.745934	-1	###LINE###
5	1	6	0	0	0	651.44	402.35	21.57	9.75	100	DIM.
3	1	7	0	0	0	694.490000	402.348594	83.266626	9.745934	-1	###FLOW###
4	1	7	0	0	0	694.490000	402.348594	83.266626	9.745934	-1	###LINE###
5	1	7	0	0	0	694.49	402.35	55.81	9.75	100	NORDGLASS
5	1	7	0	0	1	752.97	402.35	24.78	9.75	100	CODE
3	1	8	0	0	0	20.907000	431.168594	31.095320	9.745934	-1	###FLOW###
4	1	8	0	0	0	20.907000	431.168594	31.095320	9.745934	-1	###LINE###
5	1	8	0	0	0	20.91	431.17	31.10	9.75	100	ACURA
3	1	8	1	0	0	95.530000	448.368594	18.502801	9.745934	-1	###FLOW###
4	1	8	1	0	0	95.530000	448.368594	18.502801	9.745934	-1	###LINE###
5	1	8	1	0	0	95.53	448.37	18.50	9.75	100	MDX
3	1	9	0	0	0	213.180000	448.368594	22.418866	9.745934	-1	###FLOW###
4	1	9	0	0	0	213.180000	448.368594	22.418866	9.745934	-1	###LINE###
5	1	9	0	0	0	213.18	448.37	22.42	9.75	100	5RGR
3	1	10	0	0	0	251.410000	448.368594	51.753163	9.745934	-1	###FLOW###
4	1	10	0	0	0	251.410000	448.368594	51.753163	9.745934	-1	###LINE###
5	1	10	0	0	0	251.41	448.37	51.75	9.75	100	01/01-04/01
3	1	11	0	0	0	314.280000	448.368594	14.740126	9.745934	-1	###FLOW###
4	1	11	0	0	0	314.280000	448.368594	14.740126	9.745934	-1	###LINE###
5	1	11	0	0	0	314.28	448.37	14.74	9.75	100	WS
3	1	12	0	0	0	338.150000	448.368594	167.852009	9.745934	-1	###FLOW###
4	1	12	0	0	0	338.150000	448.368594	167.852009	9.745934	-1	###LINE###
5	1	12	0	0	0	338.15	448.37	13.42	9.75	100	WS
5	1	12	0	0	1	354.34	448.37	21.68	9.75	100	GSBL
5	1	12	0	0	2	378.83	448.37	3.65	9.75	100	-
5	1	12	0	0	3	385.38	448.37	9.22	9.75	100	sp
5	1	12	0	0	4	397.49	448.37	26.56	9.75	100	mb(O)
5	1	12	0	0	5	426.91	448.37	37.68	9.75	100	rectangle
5	1	12	0	0	6	467.44	448.37	12.02	9.75	100	vin
5	1	12	0	0	7	482.30	448.37	23.71	9.75	100	frame
3	1	13	0	0	0	562.590000	448.368594	68.145736	9.745934	-1	###FLOW###
4	1	13	0	0	0	562.590000	448.368594	68.145736	9.745934	-1	###LINE###
5	1	13	0	0	0	562.59	448.37	68.15	9.75	100	FW02182GBYN
3	1	14	0	0	0	642.040000	448.368594	113.364432	9.745934	-1	###FLOW###
4	1	14	0	0	0	642.040000	448.368594	113.364432	9.745934	-1	###LINE###
5	1	14	0	0	0	642.04	448.37	40.26	9.75	100	1597x954
5	1	14	0	0	1	688.18	448.37	67.22	9.75	100	WS2182GBYUSA
3	1	15	0	0	0	95.530000	469.148594	18.502801	9.745934	-1	###FLOW###
4	1	15	0	0	0	95.530000	469.148594	18.502801	9.745934	-1	###LINE###
5	1	15	0	0	0	95.53	469.15	18.50	9.75	100	MDX
3	1	16	0	0	0	213.180000	469.148594	22.418866	9.745934	-1	###FLOW###
4	1	16	0	0	0	213.180000	469.148594	22.418866	9.745934	-1	###LINE###
5	1	16	0	0	0	213.18	469.15	22.42	9.75	100	5RGR
3	1	17	0	0	0	251.410000	469.148594	51.753163	9.745934	-1	###FLOW###
4	1	17	0	0	0	251.410000	469.148594	51.753163	9.745934	-1	###LINE###
5	1	17	0	0	0	251.41	469.15	51.75	9.75	100	02/01-04/01
3	1	18	0	0	0	314.280000	469.148594	14.740126	9.745934	-1	###FLOW###
4	1	18	0	0	0	314.280000	469.148594	14.740126	9.745934	-1	###LINE###
5	1	18	0	0	0	314.28	469.15	14.74	9.75	100	WS
3	1	19	0	0	0	338.150000	469.148594	200.499281	9.745934	-1	###FLOW###
4	1	19	0	0	0	338.150000	469.148594	200.499281	9.745934	-1	###LINE###
5	1	19	0	0	0	338.15	469.15	13.42	9.75	100	WS
5	1	19	0	0	1	354.34	469.15	21.68	9.75	100	GSBL
5	1	19	0	0	2	378.83	469.15	3.65	9.75	100	-
5	1	19	0	0	3	385.38	469.15	9.22	9.75	100	sp
5	1	19	0	0	4	397.49	469.15	26.56	9.75	100	mb(O)
5	1	19	0	0	5	426.91	469.15	37.68	9.75	100	rectangle
5	1	19	0	0	6	467.44	469.15	12.02	9.75	100	vin
5	1	19	0	0	7	482.30	469.15	29.74	9.75	100	M(S06)
5	1	19	0	0	8	514.93	469.15	23.72	9.75	100	frame
3	1	20	0	0	0	562.590000	469.148594	68.145736	9.745934	-1	###FLOW###
4	1	20	0	0	0	562.590000	469.148594	68.145736	9.745934	-1	###LINE###
5	1	20	0	0	0	562.59	469.15	68.15	9.75	100	FW02321GBYN
3	1	21	0	0	0	642.040000	469.148594	113.364432	9.745934	-1	###FLOW###
4	1	21	0	0	0	642.040000	469.148594	113.364432	9.745934	-1	###LINE###
5	1	21	0	0	0	642.04	469.15	40.26	9.75	100	1597x954
5	1	21	0	0	1	688.18	469.15	67.22	9.75	100	WS2321GBYUSA
3	1	22	0	0	0	95.530000	489.958594	18.502801	9.745934	-1	###FLOW###
